35;D0037092;172.16.223.33;SB-FBP018;SB-FBP-VAU06;SB-FBP018;;VPMS Admin Unit 06;https://SB-FBP018-ILO.rbb-online.de;;;;;;;;;;;;;;17.08.2016;TPS_FBP;Echtzeitsuche;;VPMS AdminUnit;A;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;3;;10;;;;;;;;;;;;;;
36;D0037108;;SB-FBP018;SB-FBP-VAU06;SB-FBP018;;VPMS Admin Unit 06;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;3;;9;;;;;;;;;;;;;;
37;D0037093;172.16.223.34;SB-FBP019;SB-FBP-VAU08;SB-FBP019;;VPMS Admin Unit 08;https://SB-FBP019-ILO.rbb-online.de;;;;;;;;;;;;;;17.08.2016;TPS_FBP;Echtzeitsuche;;VPMS AdminUnit;A;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;4;;10;;;;;;;;;;;;;;
38;D0037109;;SB-FBP019;SB-FBP-VAU08;SB-FBP019;;VPMS Admin Unit 08;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;9;;;;;;;;;;;;;;
39;D0037094;;SB-FBP020;(frei);SB-FBP020;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;4;;11;;;;;;;;;;;;;;
40;D0037110;;SB-FBP020;(frei);SB-FBP020;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;10;;;;;;;;;;;;;;
41;D0037095;172.16.223.35;SB-FBP021;SB-FBP-LTC02;SB-FBP021;;LoRes Transcoder 02;https://SB-FBP021-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;LoRes Transcoder;B;;24;441;1;Lastverteilung;FBP.ESW.B4;3;;10;;;;;;;;;;;;;;
42;D0037111;;SB-FBP021;SB-FBP-LTC02;SB-FBP021;;LoRes Transcoder 02;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;11;;;;;;;;;;;;;;
43;D0037096;172.16.223.36;SB-FBP022;SB-FBP-LTC04;SB-FBP022;;LoRes Transcoder 04;https://SB-FBP022-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;LoRes Transcoder;B;;24;441;1;Lastverteilung;FBP.ESW.B3;4;;12;;;;;;;;;;;;;;
44;D0037112;;SB-FBP022;SB-FBP-LTC04;SB-FBP022;;LoRes Transcoder 04;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;3;;11;;;;;;;;;;;;;;
