354;VV8869;;SP-FBP027;SP-FBP-LTC04;SP-FBP027;50406 BL;LoRes Transcoder 04;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;9;;;;;;;;;;
355;ZV8849;;SP-FBP028;Frei;SP-FBP028;50406 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;13;;;;;;;;;;
356;VV8872;;SP-FBP028;Frei;SP-FBP028;50406 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;13;;;;;;;;;;
357;ZV8832;;SP-FBP029;Frei;SP-FBP029;50406 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;1;Ausfallsicherheit;FBP.ESW.4;4;;15;;;;;;;;;;
358;VV8884;;SP-FBP029;Frei;SP-FBP029;50406 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;23;;;;;;;;;;
359;ZV8851;;SP-FBP030;Frei;SP-FBP030;50406 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;15;;;;;;;;;;
360;VV8874;;SP-FBP030;Frei;SP-FBP030;50406 BL;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;15;;;;;;;;;;
361;ZZ9738;192.168.15.122;SP-FBP100;SP-FBP-EXA01;SP-FBP100;10002 DL;EVS XTAccess 01;https://SP-FBP100-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;EVS XTAccess;B;;24;555;1;Ausfallsicherheit;FBP.ESW.4;4;;16;;;;;;;;;;
362;ZV8810;;SP-FBP100;SP-FBP-EXA01;SP-FBP100;10002 DL;EVS XTAccess 01;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;4;;16;;;;;;;;;;
363;ZV8878;192.168.21.25;SP-FBP100;SP-FBP-EXA01;SP-FBP100;10002 DL;EVS XTAccess 01;;;;;;;;;;;;;;;;;;;;;;24;561;5;;FBP.ISIS3;1;;2;;;;;;;;;;
364;ZV8880;192.168.22.25;SP-FBP100;SP-FBP-EXA01;SP-FBP100;10002 DL;EVS XTAccess 01;;;;;;;;;;;;;;;;;;;;;;24;562;6;;FBP.ISIS3;2;;2;;;;;;;;;;
365;ZZ9750;192.168.15.123;SP-FBP101;SP-FBP-EXA03;SP-FBP101;10002 DL;EVS XTAccess 03;https://SP-FBP101-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;EVS XTAccess;B;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;16;;;;;;;;;;
366;ZV8822;;SP-FBP101;SP-FBP-EXA03;SP-FBP101;10002 DL;EVS XTAccess 03;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;16;;;;;;;;;;
367;ZV8874;192.168.21.27;SP-FBP101;SP-FBP-EXA03;SP-FBP101;10002 DL;EVS XTAccess 03;;;;;;;;;;;;;;;;;;;;;;24;561;5;;FBP.ISIS2;1;;4;;;;;;;;;;
368;ZV8876;192.168.22.27;SP-FBP101;SP-FBP-EXA03;SP-FBP101;10002 DL;EVS XTAccess 03;;;;;;;;;;;;;;;;;;;;;;24;562;6;;FBP.ISIS2;2;;4;;;;;;;;;;
369;ZZ9739;192.168.15.124;SP-FBP102;SP-FBP-EXA05;SP-FBP102;10002 DL;EVS XTAccess 05;https://sp-fbp102-ilo.rbb-online.de/;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;EVS XTAccess;B;;24;555;1;Ausfallsicherheit;FBP.ESW.4;4;;17;;;;;;;;;;
370;ZV8811;;SP-FBP102;SP-FBP-EXA05;SP-FBP102;10002 DL;EVS XTAccess 05;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;4;;17;;;;;;;;;;
371;ZV8872;192.168.21.28;SP-FBP102;SP-FBP-EXA05;SP-FBP102;10002 DL;EVS XTAccess 05;;;;;;;;;;;;;;;;;;;;;;24;561;5;;FBP.ISIS1;1;;5;;;;;;;;;;
372;ZV8902;192.168.22.28;SP-FBP102;SP-FBP-EXA05;SP-FBP102;10002 DL;EVS XTAccess 05;;;;;;;;;;;;;;;;;;;;;;24;562;6;;FBP.ISIS1;2;;5;;;;;;;;;;
373;ZZ9751;192.168.15.125;SP-FBP103;SP-FBP-EXA07;SP-FBP103;10002 DL;EVS XTAccess 07;https://sp-fbp103-ilo.rbb-online.de/;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;EVS XTAccess;B;;24;555;1;Ausfallsicherheit;FBP.ESW.4;7;;17;;;;;;;;;;
374;ZV8823;;SP-FBP103;SP-FBP-EXA07;SP-FBP103;10002 DL;EVS XTAccess 07;;;;;;;;;;;;;;;;;;;;;;24;555;2;;FBP.ESW.3;7;;17;;;;;;;;;;
375;ZV8879;192.168.21.29;SP-FBP103;SP-FBP-EXA07;SP-FBP103;10002 DL;EVS XTAccess 07;;;;;;;;;;;;;;;;;;;;;;24;561;5;;FBP.ISIS3;1;;3;;;;;;;;;;
376;ZV8881;192.168.22.29;SP-FBP103;SP-FBP-EXA07;SP-FBP103;10002 DL;EVS XTAccess 07;;;;;;;;;;;;;;;;;;;;;;24;562;6;;FBP.ISIS3;2;;3;;;;;;;;;;
